name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime,month,successful,condition_1,genre_encoded,company_encoded,director_encoded,writer_encoded,star_encoded,country_encoded,month_converted,season,runtime_range,rating_converted,profit,director_score,company_score,genre_score,star_score,writer_score
The Shining,R,Drama,1980,"June 13, 1980 (United States)",8.4,927000.0,Stanley Kubrick,Stephen King,Jack Nicholson,United Kingdom,19000000.0,46998772.0,Warner Bros.,146.0,June,1,True,6,2318,2588,4013,1047,54,6,Winter,Long,R,27998772.0,5,5,5,5,5
The Blue Lagoon,R,Adventure,1980,"July 2, 1980 (United States)",5.8,65000.0,Randal Kleiser,Henry De Vere Stacpoole,Brooke Shields,United States,4500000.0,58853106.0,Columbia Pictures,104.0,July,1,True,1,730,2268,1632,327,55,7,Winter,Medium,R,54353106.0,5,5,5,1,1
Star Wars: Episode V - The Empire Strikes Back,PG,Action,1980,"June 20, 1980 (United States)",8.7,1200000.0,Irvin Kershner,Leigh Brackett,Mark Hamill,United States,18000000.0,538375067.0,Lucasfilm,124.0,June,1,True,0,1538,1111,2567,1745,55,6,Winter,Long,PG,520375067.0,5,5,5,5,5
Airplane!,PG,Comedy,1980,"July 2, 1980 (United States)",7.7,221000.0,Jim Abrahams,Jim Abrahams,Robert Hays,United States,3500000.0,83453539.0,Paramount Pictures,88.0,July,1,True,4,1810,1301,2000,2244,55,7,Winter,Short,PG,79953539.0,5,5,5,5,5
Caddyshack,R,Comedy,1980,"July 25, 1980 (United States)",7.3,108000.0,Harold Ramis,Brian Doyle-Murray,Chevy Chase,United States,6000000.0,39846344.0,Orion Pictures,98.0,July,1,True,4,1775,1054,521,410,55,7,Winter,Medium,R,33846344.0,5,5,5,5,1
Friday the 13th,R,Horror,1980,"May 9, 1980 (United States)",6.4,123000.0,Sean S. Cunningham,Victor Miller,Betsy Palmer,United States,550000.0,39754601.0,Paramount Pictures,95.0,May,1,True,10,1810,2527,4362,241,55,5,Winter,Medium,R,39204601.0,5,5,5,5,5
The Blues Brothers,R,Action,1980,"June 20, 1980 (United States)",7.9,188000.0,John Landis,Dan Aykroyd,John Belushi,United States,27000000.0,115229890.0,Universal Pictures,133.0,June,1,True,0,2279,1412,838,1277,55,6,Winter,Long,R,88229890.0,5,5,5,5,5
Raging Bull,R,Biography,1980,"December 19, 1980 (United States)",8.2,330000.0,Martin Scorsese,Jake LaMotta,Robert De Niro,United States,18000000.0,23402427.0,Chartoff-Winkler Productions,129.0,December,0,False,3,630,1828,1769,2238,55,12,Winter,Long,R,5402427.0,5,5,5,5,1
Superman II,PG,Action,1980,"June 19, 1981 (United States)",6.8,101000.0,Richard Lester,Jerry Siegel,Gene Hackman,United States,54000000.0,108185706.0,Dovemead Films,127.0,June,1,True,0,882,2305,1979,877,55,6,Winter,Long,PG,54185706.0,5,5,5,5,5
The Long Riders,R,Biography,1980,"May 16, 1980 (United States)",7.0,10000.0,Walter Hill,Bill Bryden,David Carradine,United States,10000000.0,15795189.0,United Artists,100.0,May,0,False,3,2270,2863,423,589,55,5,Winter,Medium,R,5795189.0,1,5,5,1,1
Any Which Way You Can,PG,Action,1980,"December 17, 1980 (United States)",6.1,18000.0,Buddy Van Horn,Stanford Sherman,Clint Eastwood,United States,15000000.0,70687344.0,The Malpaso Company,116.0,December,1,True,0,2188,357,3984,483,55,12,Winter,Medium,PG,55687344.0,5,5,5,5,1
The Gods Must Be Crazy,PG,Adventure,1980,"October 26, 1984 (United States)",7.3,54000.0,Jamie Uys,Jamie Uys,N!xau,South Africa,5000000.0,30031783.0,C.A.T. Films,109.0,October,1,True,1,522,1199,1832,1948,44,10,Winter,Medium,PG,25031783.0,1,1,5,1,1
Popeye,PG,Adventure,1980,"December 12, 1980 (United States)",5.3,30000.0,Robert Altman,Jules Feiffer,Robin Williams,United States,20000000.0,49823037.0,Paramount Pictures,114.0,December,1,True,1,1810,2351,2333,2260,55,12,Winter,Medium,PG,29823037.0,5,5,5,5,1
Ordinary People,R,Drama,1980,"September 19, 1980 (United States)",7.7,49000.0,Robert Redford,Judith Guest,Donald Sutherland,United States,6000000.0,54766923.0,Paramount Pictures,124.0,September,1,True,6,1810,2387,2327,678,55,9,Winter,Long,R,48766923.0,5,5,5,5,1
Dressed to Kill,R,Crime,1980,"July 25, 1980 (United States)",7.1,37000.0,Brian De Palma,Brian De Palma,Michael Caine,United States,6500000.0,31899000.0,Filmways Pictures,104.0,July,1,True,5,1073,318,520,1849,55,7,Winter,Medium,R,25399000.0,5,1,5,5,1
Somewhere in Time,PG,Drama,1980,"October 3, 1980 (United States)",7.2,27000.0,Jeannot Szwarc,Richard Matheson,Christopher Reeve,United States,5100000.0,9709597.0,Rastar Pictures,103.0,October,0,False,6,1933,1243,3547,465,55,10,Winter,Medium,PG,4609597.0,0,5,5,1,1
Fame,R,Drama,1980,"May 16, 1980 (United States)",6.6,21000.0,Alan Parker,Christopher Gore,Eddie Barth,United States,0.0,21202829.0,Metro-Goldwyn-Mayer (MGM),134.0,May,1,True,6,1635,49,735,707,55,5,Winter,Long,R,21202829.0,5,5,5,1,1
9 to 5,PG,Comedy,1980,"December 19, 1980 (United States)",6.9,29000.0,Colin Higgins,Patricia Resnick,Jane Fonda,United States,10000000.0,103300686.0,IPC Films,109.0,December,1,True,4,1303,514,3261,1110,55,12,Winter,Medium,PG,93300686.0,5,5,5,5,5
The Fog,R,Horror,1980,"February 8, 1980 (United States)",6.8,66000.0,John Carpenter,John Carpenter,Adrienne Barbeau,United States,1000000.0,21448782.0,AVCO Embassy Pictures,89.0,February,1,True,10,74,1374,2104,24,55,2,Winter,Short,R,20448782.0,0,5,5,1,5
Stir Crazy,R,Comedy,1980,"December 12, 1980 (United States)",6.8,26000.0,Sidney Poitier,Bruce Jay Friedman,Gene Wilder,United States,0.0,101300000.0,Columbia Pictures,111.0,December,1,True,4,730,2560,556,878,55,12,Winter,Medium,R,101300000.0,5,5,5,5,5
Cruising,R,Crime,1980,"February 15, 1980 (United States)",6.5,20000.0,William Friedkin,William Friedkin,Al Pacino,West Germany,11000000.0,19814523.0,Lorimar Film Entertainment,102.0,February,0,False,5,1530,2890,4451,37,58,2,Winter,Medium,R,8814523.0,1,5,5,5,1
Heaven's Gate,R,Adventure,1980,"April 24, 1981 (United States)",6.8,14000.0,Michael Cimino,Michael Cimino,Kris Kristofferson,United States,44000000.0,3484523.0,Partisan Productions,219.0,April,0,False,1,1817,1891,2925,1525,55,4,Winter,Long,R,-40515477.0,0,0,5,0,0
The Final Countdown,PG,Action,1980,"August 1, 1980 (United States)",6.7,22000.0,Don Taylor,Thomas Hunter,Kirk Douglas,United States,12000000.0,16647800.0,Bryna Productions,103.0,August,0,False,0,500,744,4191,1514,55,8,Winter,Medium,PG,4647800.0,1,1,5,1,1
Xanadu,PG,Fantasy,1980,"August 8, 1980 (United States)",5.3,12000.0,Robert Greenwald,Richard Christian Danus,Olivia Newton-John,United States,20000000.0,22762571.0,Universal Pictures,96.0,August,0,False,8,2279,2370,3527,2032,55,8,Winter,Medium,PG,2762571.0,1,5,5,1,1
Urban Cowboy,PG,Drama,1980,"June 6, 1980 (United States)",6.4,14000.0,James Bridges,Aaron Latham,John Travolta,United States,0.0,46918287.0,Paramount Pictures,132.0,June,1,True,6,1810,1153,12,1318,55,6,Winter,Long,PG,46918287.0,1,5,5,5,1
