director,director_score
Stanley Kubrick,5
Randal Kleiser,5
Irvin Kershner,5
Jim Abrahams,5
Harold Ramis,5
Sean S. Cunningham,5
John Landis,5
Martin Scorsese,5
Richard Lester,5
Walter Hill,1
Buddy Van Horn,5
Jamie Uys,1
Robert Altman,5
Robert Redford,5
Brian De Palma,5
Jeannot Szwarc,0
Alan Parker,5
Colin Higgins,5
John Carpenter,0
Sidney Poitier,5
William Friedkin,1
Michael Cimino,0
Don Taylor,1
Robert Greenwald,1
James Bridges,1
Ken Russell,1
Ron Maxwell,0
Jerry Jameson,0
Stuart Rosenberg,1
Paul Schrader,0
Tony Bill,0
Paul Lynch,1
Hal Needham,5
Lamont Johnson,0
Jay Sandrich,1
Howard Zieff,5
Floyd Mutrux,0
Kevin Connor,1
Richard Fleischer,1
Michael Apted,5
John Hough,1
Bruce Beresford,5
Richard Rush,0
Art Linson,1
Mike Newell,5
Tommy Chong,5
Michael Ritchie,5
Ulli Lommel,0
Clive Donner,0
Moustapha Akkad,0
Woody Allen,5
Jonathan Demme,5
Nancy Walker,0
Clint Eastwood,5
Federico Fellini,1
Lang Elliott,0
James Goldstone,0
Joe Camp,1
Eric Karson,1
James L. Conway,0
Vincent McEveety,1
Joel Oliansky,1
Claudia Weill,0
Jerry Schatzberg,1
Daniel Petrie,5
Anne Bancroft,1
Vladimir Menshov,0
Piers Haggard,1
Bill Persky,1
Martin Davidson,1
Gary Weis,1
Bill Melendez,1
Marty Feldman,1
Alan Rudolph,0
Sidney Lumet,5
Charles Jarrott,1
Walter Bernstein,1
Paul Mazursky,1
Franco Rosso,1
Kieth Merrill,0
John Huston,1
Gordon Willis,1
Jack Smight,1
Paul Grimault,1
Gilbert Cates,1
Michael Pressman,5
Édouard Molinaro,1
Chuck Barris,1
Mike Nichols,5
Larry Peerce,1
Buck Henry,1
Wing-Cho Yip,0
Steven Spielberg,5
Lawrence Kasdan,5
Sam Raimi,5
Bob Clark,5
Desmond Davis,1
John Boorman,1
George Miller,5
Wolfgang Petersen,5
Ivan Reitman,5
Andrzej Zulawski,1
Michael Mann,5
Franco Zeffirelli,5
Terry Gilliam,5
Alan Alda,5
Steve Miner,5
David Cronenberg,5
John Glen,5
Rick Rosenthal,5
Harold Becker,5
Warren Beatty,5
Mark Rydell,5
Directors,5
Hugh Hudson,1
Sydney Pollack,5
John Derek,1
Steve Gordon,5
Louis Malle,0
Carl Gottlieb,1
Gary Sherman,1
Mel Brooks,1
Joe Dante,5
Matthew Robbins,1
Ivan Passer,1
Jean-Jacques Annaud,5
Graham Baker,1
Frank Perry,5
Alan Myerson,1
Bob Rafelson,0
Milos Forman,0
Wes Craven,5
Peter Yates,1
Peter Weir,5
Peter Hyams,5
Blake Edwards,1
Lucio Fulci,0
John Irvin,1
George Mihalka,1
Tobe Hooper,5
Francis Ford Coppola,5
Karel Reisz,1
Jim Henson,1
Ulu Grosbard,0
Michael Crichton,0
Bruce Malmuth,5
Burt Reynolds,1
John G. Avildsen,5
Richard Marquand,5
Michael Wadleigh,0
Mickey Rose,1
Oliver Stone,5
Jean-Jacques Beineix,1
Ken Wiederhorn,1
Peter Medak,1
Steve Rash,5
Michael Schultz,1
Joel Schumacher,5
James Ivory,1
Herb Freed,1
Ken Shapiro,1
Herbert Ross,5
Ralph Bakshi,0
William A. Fraker,0
Franklin J. Schaffner,0
Ken Hughes,1
Steve Carver,1
Luis Valdez,1
George Cukor,1
Billy Wilder,0
Oz Scott,1
Albert Brooks,1
Allan Arkush,0
Martin Ritt,1
Gus Trikonis,1
Jack Fisk,0
John Badham,5
Terence Young,0
Jean-Claude Tramont,0
Roger Spottiswoode,5
Alan J. Pakula,5
Glenn Jordan,1
John Schlesinger,1
David Steinberg,1
Noel Nosseck,0
Byron Quisenberry,0
Steven Hilliard Stern,1
Ferdinando Baldi,1
Jacques Rivette,1
Allan King,1
Amy Heckerling,5
Ridley Scott,5
John Milius,1
Ted Kotcheff,5
