star,star_score
Jack Nicholson,5
Brooke Shields,1
Mark Hamill,5
Robert Hays,5
Chevy Chase,5
Betsy Palmer,5
John Belushi,5
Robert De Niro,5
Gene Hackman,5
David Carradine,1
Clint Eastwood,5
N!xau,1
Robin Williams,5
Donald Sutherland,5
Michael Caine,5
Christopher Reeve,1
Eddie Barth,1
Jane Fonda,5
Adrienne Barbeau,1
Gene Wilder,5
Al Pacino,5
Kris Kristofferson,0
Kirk Douglas,1
Olivia Newton-John,1
John Travolta,5
William Hurt,5
Tatum O'Neal,1
Jason Robards,0
Robert Redford,5
Richard Gere,5
Chris Makepeace,1
Leslie Nielsen,5
Burt Reynolds,5
Scott Glenn,5
Goldie Hawn,5
Tony Danza,1
Rory Calhoun,1
Laurence Olivier,1
Sissy Spacek,5
Bette Davis,1
Edward Woodward,0
Peter O'Toole,1
Peter Boyle,0
Charlton Heston,1
Cheech Marin,5
Suzanna Love,0
Don Adams,0
Anthony Quinn,0
Woody Allen,5
Paul Le Mat,0
Ray Simpson,0
Marcello Mastroianni,1
Tim Conway,0
Paul Newman,5
Chuck Norris,5
Darren McGavin,0
Charles Martin Smith,1
Richard Dreyfuss,5
Jill Clayburgh,0
Willie Nelson,1
Ellen Burstyn,1
Dom DeLuise,5
Vera Alentova,0
Peter Sellers,1
Martin Mull,1
John Ritter,1
Dudley Moore,5
Scott Beach,1
Marty Feldman,1
Meat Loaf,1
Ali MacGraw,1
Elliott Gould,1
Walter Matthau,5
Michael Ontkean,1
David N. Haynes,1
Trevor Howard,0
Paul Michael Glaser,0
Talia Shire,1
Shirley MacLaine,5
Jean Martin,1
George Burns,1
Frank Langella,1
Michel Serrault,1
Chuck Barris,1
Gilda Radner,1
Treat Williams,0
Bob Newhart,1
Ka-Yan Leung,0
Harrison Ford,5
David Naughton,1
Kurt Russell,5
Bruce Campbell,1
Dan Monahan,5
Nigel Terry,1
Mel Gibson,5
Jürgen Prochnow,1
Bill Murray,5
Isabelle Adjani,1
James Caan,5
Sean Connery,5
Alan Alda,5
Jennifer O'Neill,1
Roger Moore,5
Jamie Lee Curtis,5
George C. Scott,5
Warren Beatty,5
Katharine Hepburn,5
Mickey Rooney,5
Ben Cross,5
Bo Derek,1
Andre Gregory,1
Ringo Starr,1
James Farentino,0
Mel Brooks,1
Dee Wallace,1
Peter MacNicol,0
Jeff Bridges,5
Everett McGill,1
Sam Neill,5
Faye Dunaway,1
Sylvia Kristel,1
James Cagney,1
Maren Jensen,1
Keith Carradine,0
Julie Andrews,5
Catriona MacColl,0
Craig Wasson,1
Paul Kelman,1
Elizabeth Berridge,1
Frederic Forrest,0
Meryl Streep,5
Jim Henson,5
Albert Finney,0
Sylvester Stallone,5
Nell Schofield,1
Kristen Riter,1
Wilhelmenia Fernandez,1
Klaus Kinski,1
Lauren Tewes,1
George Hamilton,0
George Segal,1
Lily Tomlin,1
Kristy McNichol,1
Christopher George,1
Steve Martin,5
Mews Small,0
Klinton Spilsbury,0
Lesley-Anne Down,0
Leonard Mann,1
Daniel Valdez,1
Jacqueline Bisset,1
Jack Lemmon,5
Richard Pryor,5
Albert Brooks,5
Andy Kaufman,0
Sally Field,5
Robert Duvall,5
Marsha Mason,1
David Rasche,0
Harry Hamlin,0
Pepper Martin,0
John Savage,1
Tony Anthony,1
Bulle Ogier,1
Sean Penn,5
Arnold Schwarzenegger,5
Henry Thomas,5
Michelle Pfeiffer,5
Aileen Quinn,1
JoBeth Williams,5
Nick Nolte,5
William Shatner,5
Willie Aames,1
Lawrence Monoson,1
Ben Kingsley,1
Dustin Hoffman,5
Elizabeth Hartman,1
Marc Singer,1
Hal Holbrook,1
Bob Geldof,1
Nastassja Kinski,0
Bertil Guve,1
Dana Kimmell,1
Tom Atkins,1
Scott Baio,1
Kenny Rogers,1
Steve Guttenberg,5
Henry Winkler,1
Peter Gallagher,0
Barbara Hershey,1
Kate McNeil,1
Peter Ustinov,0
Lee Horsley,1
Charles Bronson,1
Barry Bostwick,0
Mariel Hemingway,0
James Olson,1
Jessica Lange,0
Morgan Fairchild,1
Matt Dillon,1
Ben Murphy,0
Armand Assante,1
John Cassavetes,0
Michael McKean,1
Roy Scheider,1
Robert Glaudini,0
Ronny Cox,1
Cher,5
Lewis Collins,0
Kathryn Harrold,1
Season Hubley,1
Jon Voight,5
Michael Ironside,1
Tim Matheson,1
Gerrit Graham,1
Michael O'Keefe,0
Ken Wahl,0
Allen Garfield,1
Mark Blankfield,0
Michael Palin,1
Raul Julia,1
John Hurt,0
Robert Urich,1
Toni Attell,1
Joan Collins,1
Bette Midler,5
Gérard Depardieu,5
Johnny Yune,1
Leon Isaac Kennedy,1
Ryan O'Neal,0
Mel Blanc,1
Luciano Pavarotti,0
Teresa Stratas,1
Tom Skerritt,1
Rainer Werner Fassbinder,1
Lorne Greene,1
Amy Madigan,0
John Wintergate,0
Elizabeth Edmonds,0
Bill Schoppert,0
Wendy Hughes,1
C. Thomas Howell,1
Tom Cruise,5
Eddie Murphy,5
Tom Berenger,5
Dennis Quaid,5
Keith Gordon,1
Felissa Rose,0
Jennifer Beals,5
Matthew Broderick,5
Sam Shepard,0
Ken Marshall,0
David Knell,1
Christopher Walken,0
Phoebe Cates,1
Nicolas Cage,5
James Woods,0
Dan Aykroyd,5
