writer,writer_score
Stephen King,5
Henry De Vere Stacpoole,1
Leigh Brackett,5
Jim Abrahams,5
Brian Doyle-Murray,1
Victor Miller,5
Dan Aykroyd,5
Jake LaMotta,1
Jerry Siegel,5
Bill Bryden,1
Stanford Sherman,1
Jamie Uys,1
Jules Feiffer,1
Judith Guest,1
Brian De Palma,1
Richard Matheson,1
Christopher Gore,1
Patricia Resnick,5
John Carpenter,5
Bruce Jay Friedman,5
William Friedkin,1
Michael Cimino,0
Thomas Hunter,1
Richard Christian Danus,1
Aaron Latham,1
Paddy Chayefsky,1
Kimi Peck,1
Adam Kennedy,0
W.D. Richter,0
Paul Schrader,1
Alan Ormsby,1
William Gray,1
Hal Needham,5
David Eyre,0
Neil Simon,5
Nancy Meyers,5
Floyd Mutrux,0
Robert Jaffe,1
Samson Raphaelson,1
Thomas Rickman,5
Brian Clemens,1
Jonathan Hardy,0
Lawrence B. Marcus,1
Hunter S. Thompson,0
Allan Scott,1
Tommy Chong,5
Peter Benchley,5
Ulli Lommel,0
Mel Brooks,1
David Butler,0
Woody Allen,5
Bo Goldman,0
Bronte Woodard,0
Dennis Hackin,1
Federico Fellini,1
Tim Conway,0
Gordon Thomas,0
Rod Browning,1
Leigh Chapman,1
Ken Pettus,0
Don Tait,1
Joel Oliansky,1
Eleanor Bergstein,5
Gösta Stevens,1
Lewis John Carlino,5
Anne Bancroft,1
Valentin Chernykh,0
Rudy Dochtermann,1
Cyra McFadden,1
AJ Carothers,1
Guy Thomas,1
Charles M. Schulz,1
Marty Feldman,1
Big Boy Medlin,1
Jay Presson Allen,1
Ernest K. Gann,1
Damon Runyon,1
Jean Gruault,0
Franco Rosso,1
Ray Goldrup,0
Gary Sherman,1
Barry Siegel,1
Martin Donovan,5
Hans Christian Andersen,0
Josh Greenfeld,1
David Shaber,1
Jean Poiret,5
Chuck Barris,1
Anne Beatts,1
Hollis Hodges,1
Buck Henry,1
Hsin-Yi Chang,0
Lawrence Kasdan,5
John Landis,1
Sam Raimi,5
Bob Clark,5
Beverley Cross,1
Thomas Malory,1
Terry Hayes,1
Wolfgang Petersen,1
Len Blum,5
Andrzej Zulawski,1
Brock Yates,5
Frank Hohimer,1
Scott Spencer,1
Michael Palin,1
Alan Alda,5
Ron Kurz,1
David Cronenberg,0
Richard Maibaum,5
Darryl Ponicsan,1
Warren Beatty,0
Ernest Thompson,5
Daniel P. Mannix,5
Colin Welland,5
Kurt Luedtke,1
Tom Rowe,1
Yabo Yablonsky,1
Steve Gordon,5
Wallace Shawn,1
Rudy De Luca,1
Jeff Millar,0
Gary Brandner,1
Hal Barwood,0
Newton Thornburg,0
Gérard Brach,1
David Seltzer,5
Christina Crawford,1
Dan Greenburg,1
David Mamet,5
E.L. Doctorow,0
Glenn M. Benest,1
Steve Tesich,0
David Williamson,1
Peter Hyams,0
Michael Kane,1
Blake Edwards,5
Dardano Sacchetti,0
Peter Straub,1
Stephen A. Miller,1
Lawrence J. Block,1
Armyan Bernstein,0
John Fowles,1
Tom Patchett,5
John Gregory Dunne,1
Michael Crichton,5
William Diehl,5
Thomas Berger,1
Margaret Kelly,1
Ken Follett,1
Whitley Strieber,0
Mickey Rose,1
Marc Brandel,1
Daniel Odier,1
Alan Scholefield,1
Heywood Gould,5
Hal Dresner,0
Fred Bauer,0
Stanley Shapiro,5
Bob Bonney,1
Jean Rhys,1
Anne Marisse,0
Ken Shapiro,1
Dennis Potter,0
Ronni Kern,0
Ivan Goff,5
John Byrum,0
Ruth Avergon,1
James Bruner,1
Luis Valdez,1
Gerald Ayres,1
Francis Veber,1
Lonne Elder III,1
Albert Brooks,1
John Hill,0
Gary DeVore,1
Barry Schneider,1
William D. Wittliff,1
Brian Clark,0
Robin Moore,0
J.D. Reed,0
Howard Kohn,0
Edward Clinton,0
Charlie Peters,5
David Barry,0
Byron Quisenberry,0
Mary Rodgers,5
Robert Littell,1
Wolfe Lowenthal,1
Bulle Ogier,1
Olive Frederickson,1
Cameron Crowe,5
Hampton Fancher,5
Bill Lancaster,1
Robert E. Howard,1
Melissa Mathison,5
David Morrell,5
Douglas Day Stewart,5
Ken Finkleman,1
Carol Sobieski,1
Steven Spielberg,5
Roger Spottiswoode,5
Gene Roddenberry,5
Stuart Gillard,1
Boaz Davidson,1
William Styron,1
John Briley,0
Don McGuire,5
Steven Lisberger,1
Robert C. O'Brien,1
Paul D. Zimmerman,0
Sylvester Stallone,5
Don Coscarelli,1
A.B. 'Banjo' Paterson,1
Roger Waters,1
DeWitt Bodeen,0
Ingmar Bergman,1
Martin Kitrosser,5
Alex Lasker,1
Tommy Lee Wallace,1
David Odell,1
Barry Reed,1
Dick Randall,1
Bruce Rubin,1
Mike Marvin,1
John Irving,5
Barry Levinson,0
Larry L. King,1
Lowell Ganz,5
Randal Kleiser,1
Peter S. Beagle,1
Frank De Felitta,1
Mark Rosman,1
Anthony Shaffer,0
Tom Karnowski,1
David Engelbach,1
Joseph Fraley,1
Bob Kachler,0
Robert Towne,5
Carl Reiner,1
Costa-Gavras,1
Eric Bergren,0
David Schmoeller,1
John Steinbeck,0
Ira Levin,5
S.E. Hinton,1
Jason Williams,0
Mickey Spillane,1
Paul Mazursky,1
Michael Elias,1
Norman Steinberg,1
Robert Benton,1
Alan J. Adler,1
Barry Sandler,1
Clancy Carlile,1
Tom Holland,1
Ed Graczyk,0
George Markstein,0
Thomas Baum,1
Deric Washburn,0
Bruno Barreto,1
Sandy Howard,1
Valerie Curtin,1
Al Schwartz,0
Brian Taggert,1
Robert De Laurentiis,1
John Hughes,5
Henry Rosenbaum,1
Israel Horovitz,1
Richard Maxwell,1
James Glickenhaus,1
Charles McCarry,0
Fred Mustard Stewart,1
Robert Kramer,1
Monica Mcgowan Johnson,0
Franklin Thompson,1
David Wagoner,1
John McGreevey,0
Judd Klinger,1
Cheech Marin,1
Maurice Peterson,1
Frank D. Gilroy,0
Jean-Claude Carrière,1
David Randolph,1
Robert Boris,1
Joe Gores,1
Jamaa Fanaka,1
Paul Mooney,5
John W. Dunn,1
Jack-Alain Léger,1
Anne Piper,0
Francesco Maria Piave,1
Thomas Hedley Jr.,5
Robert Katz,1
Yoshimitsu Banno,0
Joseph Barbera,1
Anne Gerard,0
John Wintergate,0
June Roberts,0
Peter Markle,1
Paul Cox,1
Oliver Stone,5
Kathleen Rowell,1
Paul Brickman,5
Timothy Harris,5
Nik Cohn,1
Robert Hiltzik,0
Lawrence Lasker,5
Philip Kaufman,0
David Smilow,1
Jeffrey Boam,5
George MacDonald Fraser,1
Andrew Lane,1
Larry McMurtry,5
Kevin McClory,1
Jean Shepherd,1
Harry Julian Fink,5
James Costigan,1
Dan O'Bannon,5
François Truffaut,1
Bill Forsyth,0
Richard Di Lello,1
Nora Ephron,5
F. Paul Wilson,0
Joe Roberts,1
Jack Rosenthal,1
Ralph Bakshi,0
Martin Davidson,1
Graham Chapman,1
Andrei Tarkovsky,1
Stuart Birnbaum,1
Howard R. Cohen,1
Roger Swaybill,1
Ray Bradbury,0
Horton Foote,1
Teresa Carpenter,0
Martin Cruz Smith,1
B.J. Nelson,1
Rodney Dangerfield,5
Lourens van der Post,1
Bill Norton,0
Linda Shayne,1
Bruce Joel Rubin,5
George Gipe,1
Robert Vincent O'Neil,1
William Roberts,1
Joe Gayton,1
Howard Avedis,1
William Neely,1
Menahem Golan,0
John Herzfeld,1
Aaron Butler,1
Stewart Harding,1
Jon Cleary,1
Farley Mowat,1
W.S. Gilbert,1
Patrick Loubert,0
Luigi Cozzi,1
Willy Russell,1
Joan Tewkesbury,1
Ron Shelton,5
David Ambrose,1
Carol Amen,1
Robert Ludlum,5
James R. Silke,1
Alice Hoffman,0
Tito Carpi,0
Thomas Meehan,1
Marshall Houts,1
Leslie Arliss,0
Juan Zanotto,1
Chauncey G. Parker III,0
Topper Carew,1
Graham Greene,0
Michael Leeson,1
Harold Robbins,0
Roderick Taylor,0
Ronald Harwood,5
Pat Conroy,5
Marjorie Kinnan Rawlings,0
Christopher Crowe,1
James McLendon,0
David S. Ward,1
Amy Robinson,0
Ruth Prawer Jhabvala,0
Dana Olsen,1
Ken Friedman,1
Amy Holden Jones,1
Danny Opatoshu,0
Lloyd Phillips,0
Bill Condon,5
Walter Farley,1
William Olsen,1
John Sayles,1
Gwen Davis,0
Marshall Brickman,1
Henry Bean,1
James Toback,1
Jeffrey Price,5
Bernard Slade,1
Russell W. Colgin,0
Erich Segal,1
Franco Solinas,0
Trevor Preston,1
Karen Jaehne-Lathan,0
Ken Barnett,0
Charles Burnett,1
Kevin Sellers,0
Ernest Tidyman,1
Herbert Kastle,0
Mark Pirro,0
Ray Connolly,0
Donald G. Payne,1
Tom Logan,0
James Cameron,5
Frank Herbert,0
Robert Mark Kamen,5
Harry Grey,0
Neal Israel,5
Willard Huyck,5
Robert J. Avrech,0
Wes Craven,5
Peter Shaffer,1
Daniel Petrie Jr.,5
Kevin Reynolds,1
Dean Pitchford,5
Tim Metcalfe,5
Chris Columbus,5
Diane Thomas,5
Walter Hill,0
L.M. Kit Carson,1
Christopher Guest,1
Michael Radford,1
Jonathan R. Betuel,1
Brian Grazer,5
Joel Coen,5
Bernard Malamud,1
Bob Israel,1
Hayao Miyazaki,5
Steve Greene,1
Eric Hughes,1
Robert Bolt,0
Parnell Hall,1
Jean-Loup Dabadie,1
Earl Mac Rauch,1
Alex Cox,0
Arthur C. Clarke,1
Bruce Robinson,0
William Kennedy,0
Bruce A. Evans,1
Thom Eberhardt,1
David Loughery,5
Michael Janover,0
John Derek,1
Jim Jarmusch,5
Stewart Raffill,1
E.M. Forster,5
Albert Magnoli,5
Peter Prince,1
David Newman,0
Arthur Silver,1
Edgar Rice Burroughs,1
Michael Cristofer,0
Just Jaeckin,1
Charles Parker,5
William Wharton,0
Angela Carter,1
Luca Bercovici,0
Rusty Lemorande,1
Steve Kloves,5
Paul Caimi,1
Vincent Patrick,1
Edwin Davis,1
Ken Hixon,1
Stu Krieger,5
Richard Tuggle,1
Phil Alden Robinson,5
Neal Marshall,1
Jim Kouf,5
Nancy Dowd,0
Steven Hager,1
W. Somerset Maugham,0
Dan Gordon,0
John C. Broderick,1
R. Lance Hill,1
Ron Koslow,0
Cesare Frugoni,0
W.R. McKinney,1
Tengiz Abuladze,0
Robert Dillon,0
Everett De Roche,1
Charles Fuller,1
David Taylor,1
Malcolm Lowry,1
Chip Proser,1
George LaFountaine,0
Loring Mandel,1
Philip John Taylor,0
Larry Anderson,1
Craig Bolotin,5
Robert Grossbach,1
Jonathan Reynolds,0
Mark Buntzman,1
Ann Biderman,1
